corruption_type,divergence
typo_1,20.220657894736842
typo_2,34.812894736842104
typo_3,45.711052631578944
typo_4,54.22986842105263
typo_5,60.90210526315789
whitespace_1,60.236315789473686
whitespace_2,134.9465789473684
whitespace_3,208.4821052631579
whitespace_4,282.3881578947368
whitespace_5,356.3640789473684
synonym_1,29.292894736842104
synonym_2,44.31723684210527
synonym_3,52.43907894736842
synonym_4,57.085921052631576
synonym_5,59.568552631578946
antonym_1,15.020657894736843
antonym_2,21.51078947368421
antonym_3,25.216842105263158
antonym_4,27.341184210526315
antonym_5,28.824473684210528
deletion_1,6.841447368421052
deletion_2,13.055394736842105
deletion_3,19.351973684210527
deletion_4,25.496052631578948
deletion_5,31.738552631578948
insertion_1,131.4463157894737
insertion_2,262.1272368421053
insertion_3,394.0280263157895
insertion_4,527.0961842105263
insertion_5,659.2264473684211
sentence_noise_injection_1,262.23842105263157
sentence_noise_injection_2,524.3777631578947
sentence_noise_injection_3,786.5392105263157
sentence_noise_injection_4,1049.0053947368422
sentence_noise_injection_5,1311.7878947368422
case_randomization_1,15.300657894736842
case_randomization_2,30.707631578947368
case_randomization_3,45.98907894736842
case_randomization_4,61.38644736842105
case_randomization_5,76.90934210526316
entity_masking_1,9.359605263157894
entity_masking_2,10.695657894736842
entity_masking_3,13.265
entity_masking_4,17.668684210526315
entity_masking_5,25.006447368421053
shuffling_1,28.81736842105263
shuffling_2,63.326184210526314
shuffling_3,95.12421052631579
shuffling_4,122.65513157894736
shuffling_5,143.12486842105264
