,corruption_type,divergence
0,typo_1,3.7019525
1,typo_2,5.339224
2,typo_3,6.19125
3,typo_4,6.635761
4,typo_5,6.9234295
5,whitespace_1,0.25155246
6,whitespace_2,0.4923883
7,whitespace_3,0.72856045
8,whitespace_4,0.9583564
9,whitespace_5,1.205006
10,synonym_1,1.1730012
11,synonym_2,1.7326906
12,synonym_3,2.0228214
13,synonym_4,2.1699007
14,synonym_5,2.242986
15,antonym_1,0.66777813
16,antonym_2,0.96278524
17,antonym_3,1.0778872
18,antonym_4,1.1544243
19,antonym_5,1.1960288
20,deletion_1,0.3861506
21,deletion_2,0.798162
22,deletion_3,1.2574732
23,deletion_4,1.7106237
24,deletion_5,2.2301893
25,insertion_1,2.6856854
26,insertion_2,3.9996753
27,insertion_3,4.7909837
28,insertion_4,5.333326
29,insertion_5,6.018644
30,sentence_noise_injection_1,4.6231756
31,sentence_noise_injection_2,5.937682
32,sentence_noise_injection_3,6.691908
33,sentence_noise_injection_4,7.0404234
34,sentence_noise_injection_5,7.2291913
35,entity_masking_1,0.714461
36,entity_masking_2,0.7937799
37,entity_masking_3,0.95372593
38,entity_masking_4,1.2758061
39,entity_masking_5,1.8170202
40,shuffling_1,1.0821556
41,shuffling_2,2.4253879
42,shuffling_3,3.8291397
43,shuffling_4,5.1287313
44,shuffling_5,6.5261903
45,truncation_1,2.4891672
46,truncation_2,3.5090454
47,truncation_3,3.9425776
48,truncation_4,4.1538515
49,truncation_5,4.3269753
